"timeMillisSpent","score"
367,"-105hard/-12911soft"
457,"-65hard/-16001soft"
548,"-44hard/-19505soft"
645,"-34hard/-19608soft"
745,"-24hard/-19867soft"
853,"-17hard/-19988soft"
963,"-15hard/-19930soft"
1035,"-13hard/-19952soft"
1080,"-13hard/-19923soft"
1133,"-12hard/-19932soft"
1179,"-12hard/-19649soft"
1228,"-12hard/-19596soft"
1273,"-12hard/-19570soft"
1322,"-12hard/-19389soft"
1371,"-11hard/-19326soft"
1463,"-11hard/-19319soft"
1514,"-11hard/-19208soft"
1561,"-10hard/-19223soft"
1610,"-8hard/-19208soft"
1658,"-8hard/-19188soft"
1702,"-7hard/-19185soft"
1753,"-7hard/-19179soft"
1803,"-7hard/-19143soft"
1849,"-7hard/-19120soft"
1902,"-7hard/-18956soft"
1951,"-7hard/-18951soft"
2000,"-7hard/-18748soft"
2046,"-6hard/-18738soft"
2092,"-6hard/-18723soft"
2140,"-6hard/-18688soft"
2186,"-6hard/-18682soft"
2232,"-6hard/-18663soft"
2278,"-6hard/-18643soft"
2329,"-6hard/-18623soft"
2386,"-6hard/-18531soft"
2435,"-6hard/-18508soft"
2480,"-6hard/-18482soft"
2534,"-6hard/-18458soft"
2581,"-6hard/-18450soft"
2635,"-6hard/-18449soft"
2691,"-6hard/-18444soft"
2742,"-6hard/-18436soft"
2799,"-6hard/-18423soft"
2857,"-6hard/-18418soft"
2918,"-6hard/-18373soft"
2969,"-6hard/-18351soft"
3028,"-6hard/-18112soft"
3087,"-6hard/-18088soft"
3140,"-6hard/-18048soft"
3192,"-6hard/-18041soft"
3242,"-4hard/-18114soft"
3296,"-4hard/-18101soft"
3346,"-4hard/-18098soft"
3399,"-4hard/-18084soft"
3453,"-4hard/-18082soft"
3497,"-4hard/-18055soft"
3546,"-4hard/-18027soft"
3596,"-4hard/-18019soft"
3651,"-4hard/-18007soft"
3704,"-4hard/-17998soft"
3820,"-4hard/-17997soft"
3876,"-4hard/-17986soft"
3927,"-4hard/-17978soft"
3979,"-4hard/-17954soft"
4027,"-4hard/-17948soft"
4075,"-4hard/-17945soft"
4120,"-4hard/-17942soft"
4169,"-4hard/-17914soft"
4217,"-4hard/-17901soft"
4266,"-2hard/-17979soft"
4320,"-2hard/-17965soft"
4374,"-2hard/-17962soft"
4424,"-2hard/-17950soft"
4524,"-2hard/-17926soft"
4576,"-2hard/-17906soft"
4623,"-2hard/-17905soft"
4671,"-2hard/-17893soft"
4721,"-2hard/-17890soft"
4812,"-2hard/-17877soft"
4861,"-2hard/-17857soft"
4912,"-2hard/-17854soft"
4960,"-2hard/-17852soft"
5007,"-2hard/-17848soft"
5055,"-2hard/-17847soft"
5102,"-2hard/-17846soft"
5248,"-2hard/-17838soft"
5350,"-2hard/-17834soft"
5402,"-2hard/-17832soft"
5468,"-2hard/-17829soft"
5572,"-2hard/-17825soft"
5630,"-2hard/-17815soft"
5682,"-2hard/-17814soft"
5729,"-2hard/-17806soft"
5871,"-2hard/-17805soft"
5922,"-2hard/-17804soft"
5965,"-2hard/-17801soft"
6012,"-2hard/-17800soft"
6152,"-2hard/-17799soft"
6254,"-2hard/-17755soft"
6397,"-2hard/-17754soft"
6441,"-2hard/-17751soft"
6490,"-2hard/-17738soft"
6542,"-2hard/-17737soft"
6968,"-2hard/-17725soft"
7018,"-2hard/-17715soft"
7064,"-2hard/-17701soft"
7163,"-2hard/-17696soft"
7213,"-2hard/-17686soft"
7265,"-2hard/-17676soft"
7362,"-2hard/-17675soft"
7408,"-2hard/-17643soft"
7786,"-2hard/-17639soft"
7836,"-2hard/-17635soft"
7886,"-2hard/-17634soft"
7942,"-2hard/-17623soft"
7995,"-2hard/-17614soft"
8192,"-2hard/-17609soft"
